"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"348";"TONY CETINSKI";"79";"KRIŽANKE";"Ljubljana";"11573";"80:AGENCIJA URAN d.o.o.";"80:Eventim Si d.o.o.";"TONY CETINSKI";"Thu, 09/19/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"687";"LITTLE MIX (Dunaj) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"LITTLE MIX";"Thu, 09/19/2019 10:00";"1";"ET_SVN_PREVOZI";"No"
"681";"THE CURSE OF VALBURGA - 2019";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"THE CURSE OF VALBURGA (2019)";"Wed, 09/18/2019 19:00";"1";"ET_SVN-veliki logo";"No"
"434";"17:30 / SLO - RUS, 20:30 / FIN - TUR";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"SLO - RUS, FIN - TUR";"Wed, 09/18/2019 17:30";"1";"EUROVOLLEY";"No"
"658";"DEAFHEAVEN - TOUCHÉ AMORÉ";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"DEAFHEAVEN - TOUCHÉ AMORÉ";"Tue, 09/17/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"433";"17:30 / SLO - MKD, 20:30 / TUR - BLR";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"SLO - MKD, TUR - BLR";"Tue, 09/17/2019 17:30";"1";"EUROVOLLEY";"No"
"432";"17:30 / RUS - FIN, 20:30 / BLR - MKD";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"RUS - FIN, BLR - MKD";"Mon, 09/16/2019 17:30";"1";"EUROVOLLEY";"No"
"661";"MICHAEL BUBLE (Zagreb) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"MICHAEL BUBLE";"Mon, 09/16/2019 15:30";"0";"ET_SVN_PREVOZI";"No"
"352";"SAŠA MATIÆ";"79";"KRIŽANKE";"Ljubljana";"11394";"80:EVENT24 d. o. o.";"80:Eventim Si d.o.o.";"SAŠA MATIÆ";"Sun, 09/15/2019 21:00";"1";"ET_SVN-logo naslov je";"No"
"431";"17:30 / BLR - FIN, 20:30 / TUR - SLO";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"BLR - FIN, TUR - SLO";"Sun, 09/15/2019 17:30";"1";"EUROVOLLEY";"No"
"353";"SIMFONIJA KOPRA";"1197";"Potniški terminal";"Koper";"10966";"80:PREDODROM d.o.o.";"80:Eventim Si d.o.o.";"SIMFONIJA KOPRA";"Sat, 09/14/2019 20:00";"1";"SVN - OK NOV";"No"
"677";"GRAMATIK";"79";"KRIŽANKE";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"GRAMATIK";"Sat, 09/14/2019 19:00";"1";"SVN - OK NOV";"No"
"430";"17:30 / MKD - RUS, 20:30 / SLO - FIN";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"MKD - RUS, SLO - FIN";"Sat, 09/14/2019 17:30";"1";"EUROVOLLEY";"No"
"199";"RIBLJA ÈORBA";"126";"CANKARJEV DOM";"Ljubljana";"11564";"80:SDP GROUP d.o.o.";"80:Eventim Si d.o.o.";"RIBLJA ÈORBA";"Fri, 09/13/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"341";"Dobrodelni koncert VILJEM JULIJAN";"79";"KRIŽANKE";"Ljubljana";"11485";"80:DRUŠTVO VILJEM JULIJAN";"80:Eventim Si d.o.o.";"Dobrodelni koncert VILJEM JULIJAN";"Fri, 09/13/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"59";"AKUSTIÈNI KONCERT MI2";"161";"Grad Vurberk";"Spodnji Duplek";"11224";"80:Spot oglaševanje,Boštjan Lesjak s.p.";"80:Eventim Si d.o.o.";"AKUSTIÈNI KONCERT MI2";"Fri, 09/13/2019 19:00";"1";"ET_SVN-veliki logo";"No"
"429";"17:30 / MKD - TUR, 20:30 / BLR - RUS";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"MKD - TUR, BLR - RUS";"Fri, 09/13/2019 17:30";"1";"EUROVOLLEY";"No"
"660";"OPERATORS";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"OPERATORS";"Thu, 09/12/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"428";"14:30 / TUR - RUS, 17:30 / FIN - MKD, 20:30 / SLO - BLR";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"TUR - RUS, FIN - MKD, SLO - BLR";"Thu, 09/12/2019 17:30";"1";"EUROVOLLEY";"No"
"437";"SLOVENSKI PAKET 5=4";"1";"Dvorana Stožice";"Ljubljana";"10616";"80:Odbojkarska zveza Slovenije";"80:Eventim Si d.o.o.";"SLOVENSKI PAKET 5=4";"Thu, 09/12/2019 14:30";"1";"SVN 2019";"Yes"
"61";"2. ART Expo Ljubljana";"495";"Gospodarsko razstavišèe";"Ljubljana";"11579";"80:Zavod Atelje Art Murn International";"80:Eventim Si d.o.o.";"2. ART Expo Ljubljana";"Thu, 09/12/2019 09:00";"1";"Metaldays";"Yes"
"350";"Novi Fosili & Srebrna Krila";"79";"KRIŽANKE";"Ljubljana";"11394";"80:EVENT24 d. o. o.";"80:Eventim Si d.o.o.";"Novi Fosili & Srebrna Krila";"Wed, 09/11/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"345";"Tomislav Braliæ in Klapa INTRADE";"79";"KRIŽANKE";"Ljubljana";"11545";"80:MARUŠKA KORELC S.P.";"80:Eventim Si d.o.o.";"Tomislav Braliæ in Klapa INTRADE";"Sun, 09/08/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"30";"TARTINI FESTIVAL 2019: Salzburger Mozart Consort";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"Salzburger Mozart Consort";"Sun, 09/08/2019 20:00";"1";"SVN - OK NOV";"No"
"18";"New Swing Quartet";"212";"Grad Rajhenburg";"Brestanica";"10631";"80:Kulturni dom Krško";"80:Eventim Si d.o.o.";"New Swing Quartet";"Sun, 09/08/2019 18:00";"1";"ET_SVN-veliki logo";"No"
"690";"EVANESCENCE(Madžarska) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"EVANESCENCE";"Sun, 09/08/2019 09:30";"1";"ET_SVN_PREVOZI";"No"
"537";"MENOPAVZA, Špas teater";"168";"Letno gledališèe Khislstein";"Kranj";"10163";"80:KD ŠPAS TEATER";"80:Eventim Si d.o.o.";"MENOPAVZA";"Sat, 09/07/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"5";"ADI SMOLAR - 60. OBLETNICA";"693";"Kulturni dom Železniki";"Železniki";"11608";"80:Sanela Flisar Stankoviæ, s.p.";"80:Eventim Si d.o.o.";"ADI SMOLAR - 60. OBLETNICA";"Sat, 09/07/2019 20:00";"1";"SVN - OK NOV";"No"
"324";"NINA PUŠLAR LJUBLJANA";"79";"KRIŽANKE";"Ljubljana";"11573";"80:AGENCIJA URAN d.o.o.";"80:Eventim Si d.o.o.";"NINA PUŠLAR";"Fri, 09/06/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"647";"SMOKEASAC";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"SMOKEASAC";"Fri, 09/06/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"141";"SLOVENIJA-POLJSKA || SLOVENIJA-IZRAEL nogomet";"68";"Stadion Stožice";"Ljubljana";"10107";"80:NZS";"80:Eventim Si d.o.o.";"Kvalifikacije za UEFA EURO 2020";"Fri, 09/06/2019 20:45";"1";"NZS za dve tekmi";"No"
"206";"Orkester Slovenske filharmonije";"126";"CANKARJEV DOM";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Orkester Slovenske filharmonije";"Fri, 09/06/2019 20:00";"0";"Festival Ljubljana";"No"
"70";"ANDREJ ŠIFRER 40 let norosti";"168";"Letno gledališèe Khislstein";"Kranj";"10596";"80:Zavod za turizem in kulturo Kranj";"80:Eventim Si d.o.o.";"ANDREJ ŠIFRER 40 let norosti";"Fri, 09/06/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"29";"TARTINI FESTIVAL 2019: ANSAMBEL SERGIO GAGGIA";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"ANSAMBEL SERGIO GAGGIA";"Fri, 09/06/2019 20:00";"1";"SVN - OK NOV";"No"
"202";"IZRAELSKI FILHARMONIÈNI ORKESTER";"126";"CANKARJEV DOM";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"IZRAELSKI FILHARMONIÈNI ORKESTER";"Thu, 09/05/2019 20:00";"1";"Festival Ljubljana";"No"
"28";"TARTINI FESTIVAL 2019: Lana Trotovšek & Masumi Yamamoto";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"Lana Trotovšek & Masumi Yamamoto";"Thu, 09/05/2019 20:00";"1";"SVN - OK NOV";"No"
"200";"Simfonièni orkester iz Shenzhena";"126";"CANKARJEV DOM";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Simfonièni orkester iz Shenzhena";"Wed, 09/04/2019 20:00";"1";"Festival Ljubljana";"No"
"61";"6. Salon Decanterjevih nagrajencev";"312";"Kongresni center Brdo";"Kranj";"11636";"80:Sandra Bohinec Gorjak s.p.";"80:Eventim Si d.o.o.";"6. Salon Decanterjevih nagrajencev";"Wed, 09/04/2019 12:00";"1";"SVN - OK 2018";"No"
"336";"Svetlana Zakharova in prijatelji";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Svetlana Zakharova in prijatelji";"Tue, 09/03/2019 20:30";"1";"FL - CD alternativni";"No"
"27";"TARTINI FESTIVAL 2019: Ansambel LA CALANDRIA";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"Ansambel LA CALANDRIA";"Tue, 09/03/2019 20:00";"1";"SVN - OK NOV";"No"
"689";"LITTLE STEVEN (Dunaj) vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"LITTLE STEVEN";"Mon, 09/02/2019 10:00";"1";"ET_SVN_PREVOZI";"No"
"355";"Nune v akciji!";"168";"Letno gledališèe Khislstein";"Kranj";"10426";"80:Prospot d.o.o.";"80:Eventim Si d.o.o.";"Nune v akciji!";"Sun, 09/01/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"3";"Ribiè Pepe";"1199";"NOVO MESTO - PIKNIK PROSTOR KMETIJE KASTELIC";"Novo mesto";"11059";"80:POUHNA LUNA, Mitja Kovaèiè s.p.";"80:Eventim Si d.o.o.";"Ribiè Pepe";"Sun, 09/01/2019 16:00";"1";"SVN - OK NOV";"No"
"139";"NK Olimpija - Sezonska vstopnica 2019/20";"68";"Stadion Stožice";"Ljubljana";"10283";"80:FC OLIMPIJA d.o.o.";"80:Eventim Si d.o.o.";"NK OLIMPIJA - SEZONA 2019/2020";"Sun, 09/01/2019 00:00";"1";"ET_SVN-veliki logo";"Yes"
"6";"GIBONNI - PRESTAVLJENO IZ 6.7.2019";"1159";"MUSIC PARK BIVJE";"DEKANI";"11627";"80:GOST-ISTRA d.o.o.";"80:Eventim Si d.o.o.";"GIBONNI";"Sat, 08/31/2019 21:00";"1";"SVN 2019";"No"
"10";"DUBIOZA KOLEKTIV";"210";"Letno gledališèe Khislstein";"Kranj";"10596";"80:Zavod za turizem in kulturo Kranj";"80:Eventim Si d.o.o.";"DUBIOZA KOLEKTIV";"Sat, 08/31/2019 21:00";"1";"ET_SVN-logo naslov je";"No"
"105";"Komedija pod zvezdami: TAKO TI JE, MALA";"144";"Ljubljanski grad";"Ljubljana";"10158";"80:GUSTAV FILM D.O.O";"80:Eventim Si d.o.o.";"TAKO TI JE, MALA";"Sat, 08/31/2019 20:30";"1";"SVN - OK NOV";"No"
"26";"TARTINI FESTIVAL 2019:  | SOLISTI VENETI";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"| SOLISTI VENETI";"Sat, 08/31/2019 20:30";"1";"SVN - OK NOV";"No"
"32";"JAN PLESTENJAK";"161";"Grad Vurberk";"Spodnji Duplek";"11541";"80:Klub ABUHI";"80:Eventim Si d.o.o.";"JAN PLESTENJAK";"Sat, 08/31/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"11";"Festival Urbane Kulture #FUKsi2019 - Röyksopp DJ set & Sladica";"1160";"Tobaèna mesto";"Ljubljana";"10914";"80:MOBILIUM d.o.o.";"80:Eventim Si d.o.o.";"Festival Urbane Kulture #FUKsi2019";"Sat, 08/31/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"7";"RAZOÈARANA GOSPODINJA PRI SEKSOLOGU";"124";"Kino Komuna";"Ljubljana";"10775";"80:Zavod ""Zimske urice""";"80:Eventim Si d.o.o.";"RAZOÈARANA GOSPODINJA PRI SEKSOLOGU";"Sat, 08/31/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"20";"SIDDHARTA AKUSTIÈNO";"667";"Galerija Božidar Jakac, Kostanjevica na Krki";"Kostanjevica na krki";"11629";"80:KAZJANSKO EVENTS d.o.o.";"80:Eventim Si d.o.o.";"SIDDHARTA AKUSTIÈNO";"Sat, 08/31/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"2";"GIANNI RIJAVEC in godalni kvartet";"1190";"Grad Kromberk, Nova Gorica";"Nova Gorica";"11638";"80:JANEZ RIJAVEC S.P.";"80:Eventim Si d.o.o.";"GIANNI RIJAVEC in godalni kvartet";"Sat, 08/31/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"11";"NEW SWING QUARTET";"719";"GRAD KOMENDA NA POLZELI";"POLZELA";"11106";"80:GIG INT d.o.o.";"80:Eventim Si d.o.o.";"NEW SWING QUARTET";"Sat, 08/31/2019 20:00";"1";"SVN - OK NOV";"No"
"60";"TrNOVfest - TABU & Traffic Religion";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"TABU & Traffic Religion";"Sat, 08/31/2019 20:00";"1";"SVN - OK NOV";"No"
"4";"OPÈA OPASNOST, HAMO & TRIBUTE 2 LOVE - Festival ÈrnFest";"756";"Trg svobode (staro mestno jedro)";"Èrnomelj";"11184";"80:KLUB BELOKRANJSKIH ŠTUDENTOV";"80:Eventim Si d.o.o.";"OPÈA OPASNOST, HAMO & TRIBUTE 2 LOVE";"Sat, 08/31/2019 20:00";"2";"ET_SVN-veliki logo";"No"
"2";"ODPOVEDANO - Virtuozni koncert na piano harmoniki!";"289";"Grand hotel Bernardin";"Portorož";"11568";"80:SIMONA KREMZER, mag. ekon. in posl. ved, s.p.";"80:Eventim Si d.o.o.";"Virtuozni koncert na piano harmoniki!";"Sat, 08/31/2019 19:00";"7";"ET_SVN-veliki logo";"No"
"686";"TWENTY ONE PILOTS,BILLIE EILISH (Milano) Italija vstopnica+prevoz";"171";"VOUCHER";"Vstopnica za koncert/prevoz/vodenje";"10007";"80:CONCERT FREAK, TADEJ KOŠMERL S.P.";"80:Eventim Si d.o.o.";"TWENTY ONE PILOTS, BILLIE EILISH";"Sat, 08/31/2019 07:00";"5";"ET_SVN_PREVOZI";"No"
"44";"MARIBOR RIVERSIDE 19";"1076";"Žièki dvor";"Maribor";"10701";"80:GALERIJA GOSPOSKA D.O.O.";"80:Eventim Si d.o.o.";"MARIBOR RIVERSIDE 19";"Fri, 08/30/2019 22:00";"1";"ET_SVN-veliki logo";"Yes"
"16";"PIKNIK KINO: LEVJI KRALJ - sinhronizirano";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Fri, 08/30/2019 21:00";"1";"SVN - OK NOV";"No"
"327";"Vlado Kreslin z gosti";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Vlado Kreslin z gosti";"Fri, 08/30/2019 20:30";"0";"FL - rezervni termin";"No"
"104";"Komedija pod zvezdami: PREDSTAVA ZA VSAKO PRILOŽNOST";"144";"Ljubljanski grad";"Ljubljana";"10158";"80:GUSTAV FILM D.O.O";"80:Eventim Si d.o.o.";"PREDSTAVA ZA VSAKO PRILOŽNOST";"Fri, 08/30/2019 20:30";"1";"SVN - OK NOV";"No"
"21";"ŽIRFEST 2019 - ROCK VEÈER: BIG FOOT MAMA, ZABLUJENA GENERACIJA, JOKER OUT";"1185";"Športno igrišèe za PGD Žiri";"Žiri";"11629";"80:KAZJANSKO EVENTS d.o.o.";"80:Eventim Si d.o.o.";"ŽIRFEST 2019 - ROCK VEÈER";"Fri, 08/30/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"12";"Festival Urbane Kulture #FUKsi2019 - PAKET 30.8.2019 & 31.8.2019";"1160";"Tobaèna mesto";"Ljubljana";"10914";"80:MOBILIUM d.o.o.";"80:Eventim Si d.o.o.";"Festival Urbane Kulture #FUKsi2019";"Fri, 08/30/2019 20:01";"1";"ET_SVN-logo naslov2";"No"
"10";"Festival Urbane Kulture #FUKsi2019 - David Morales & Pure Oldies Goldies";"1160";"Tobaèna mesto";"Ljubljana";"10914";"80:MOBILIUM d.o.o.";"80:Eventim Si d.o.o.";"Festival Urbane Kulture #FUKsi2019";"Fri, 08/30/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"33";"CVETJE V JESENI";"356";"Dom kulture Lenart";"Lenart";"10873";"80:TMK d.o.o.";"80:Eventim Si d.o.o.";"CVETJE V JESENI";"Fri, 08/30/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"17";"Manca Izmajlova: Ruska noè";"212";"Grad Rajhenburg";"Brestanica";"10631";"80:Kulturni dom Krško";"80:Eventim Si d.o.o.";"Manca Izmajlova: Ruska noè";"Fri, 08/30/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"16";"Park Wine Party";"1110";"Park, Hotel & Entertainment";"Nova Gorica";"10998";"80:Hit hoteli, igralnice, turizem d.d. Nova Gorica";"80:Eventim Si d.o.o.";"Park Wine Party";"Fri, 08/30/2019 20:00";"1";"22% DDV";"No"
"59";"TrNOVfest - Bogunov & Brigand";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Bogunov & Brigand";"Fri, 08/30/2019 20:00";"1";"SVN - OK NOV";"No"
"17";"MEGA PARTY - VIGOR, INES ERBUS, DJ ROKY";"1196";"Avtopoligon Loèica ob Savinji, Polzela";"Polzela";"11285";"80:UNICO & CO d.o.o.";"80:Eventim Si d.o.o.";"MEGA PARTY";"Fri, 08/30/2019 19:00";"1";"ET_SVN-veliki logo";"No"
"103";"Komedija pod zvezdami: ÐUROLOGIJA";"144";"Ljubljanski grad";"Ljubljana";"10158";"80:GUSTAV FILM D.O.O";"80:Eventim Si d.o.o.";"ÐUROLOGIJA";"Thu, 08/29/2019 20:30";"1";"SVN - OK NOV";"No"
"25";"TARTINI FESTIVAL 2019:  Pierre Laurent Boucharlat";"451";"Tartinijeva hiša";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"Pierre Laurent Boucharlat";"Thu, 08/29/2019 20:30";"1";"SVN - OK NOV";"No"
"5";"NUNE V AKCIJI";"433";"Letni Kino ARRIGONI";"Izola";"11303";"80:CENTER ZA KULTURO, ŠPORT IN PRIREDITVE IZOLA";"80:Eventim Si d.o.o.";"NUNE V AKCIJI";"Thu, 08/29/2019 20:30";"1";"SVN - OK NOV";"No"
"207";"G. Verdi: La Traviata, opera";"126";"CANKARJEV DOM";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"G. Verdi: La Traviata, opera";"Thu, 08/29/2019 20:00";"0";"Festival Ljubljana";"No"
"58";"TrNOVfest - MRFY & Kokosy";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"MRFY & Kokosy";"Thu, 08/29/2019 20:00";"1";"SVN - OK NOV";"No"
"102";"Komedija pod zvezdami: PROFESOR KUZMAN MLAJŠI";"144";"Ljubljanski grad";"Ljubljana";"10158";"80:GUSTAV FILM D.O.O";"80:Eventim Si d.o.o.";"PROFESOR KUZMAN MLAJŠI";"Wed, 08/28/2019 20:30";"1";"SVN - OK NOV";"No"
"356";"Nune v akciji!";"141";"Stari grad Celje";"Celje";"10426";"80:Prospot d.o.o.";"80:Eventim Si d.o.o.";"Nune v akciji!";"Wed, 08/28/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"205";"G. Verdi: La Traviata, opera";"126";"CANKARJEV DOM";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"G. Verdi: La Traviata, opera";"Wed, 08/28/2019 20:00";"0";"Festival Ljubljana";"No"
"57";"TrNOVfest - Viperstone, Infected, R.Mohoriè & I.C.E";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Viperstone, Infected, R.Mohoriè & I.C.E.";"Wed, 08/28/2019 20:00";"1";"SVN - OK NOV";"No"
"24";"TARTINI FESTIVAL 2019:  MARIO BRUNELLO & IL TERZO SUONO";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"MARIO BRUNELLO & IL TERZO SUONO";"Tue, 08/27/2019 20:30";"1";"SVN - OK NOV";"No"
"680";"ANDERSON .PAAK & The Free Nationals";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"ANDERSON .PAAK & The Free Nationals";"Tue, 08/27/2019 20:05";"1";"ET_SVN-veliki logo";"No"
"679";"ANDERSON .PAAK & The Free Nationals";"20";"Kino Šiška";"Ljubljana";"10287";"80:Kino Šiška";"80:Eventim Si d.o.o.";"ANDERSON .PAAK & The Free Nationals";"Tue, 08/27/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"56";"TrNOVfest - Zala in Gašper & Balladero";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Zala in Gašper & Balladero";"Tue, 08/27/2019 20:00";"1";"SVN - OK NOV";"No"
"55";"TrNOVfest - Leteèi potepuhi & Gušti";"1161";"Center Slovanskih Kultur France Prešeren";"Ljubljana";"11603";"80:DRUSTVO TRNFEST";"80:Eventim Si d.o.o.";"Leteèi potepuhi & Gušti";"Mon, 08/26/2019 20:00";"1";"SVN - OK NOV";"No"
"209";"Orkester Marijinega gledališèa";"126";"CANKARJEV DOM";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Orkester Marijinega gledališèa";"Mon, 08/26/2019 20:00";"0";"Festival Ljubljana";"No"
"6";"10. SALON TRAMINEC 2019";"1149";"Zdraviliški park Radenci";"Radenci";"10651";"80:KLUB DIŠEÈI TRAMINEC - HRAM VINSKE KULTURE";"80:Eventim Si d.o.o.";"10. SALON TRAMINEC 2019";"Mon, 08/26/2019 17:00";"1";"ET_SVN-veliki logo";"No"
"112";"PANÈ festival stand-up komedije - NEDELJSKIH 6";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Sun, 08/25/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"317";"Mamma mia, muzikal";"79";"KRIŽANKE";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Mamma mia, muzikal";"Sun, 08/25/2019 20:30";"1";"FL - rezervni termin";"No"
"23";"TARTINI FESTIVAL 2019:  Orkester Cenacolo Musicale";"450";"Minoritski samostan sv. Franèiška, Piran";"Piran";"10327";"80:KULTURNO DRUŠTVO LIB-ART";"80:Eventim Si d.o.o.";"Orkester Cenacolo Musicale";"Sun, 08/25/2019 20:30";"1";"SVN - OK NOV";"No"
"58";"37. Festival Radovljica 2019: ODMEVI BENETK - GLASBA ZA TROBILA";"235";"Radovljiška grašèina";"Radovljica";"10278";"80:Društvo ljubiteljev stare glasbe Radovljica";"80:Eventim Si d.o.o.";"ODMEVI BENETK - GLASBA ZA TROBILA";"Sun, 08/25/2019 20:00";"1";"SVN - OK NOV";"No"
"1";"PRIFARSKI MUZIKANTI";"718";"GRAD BOGENŠPERK";"ŠMARTNO PRI LITIJI";"10968";"80:Jabka d.o.o.";"80:Eventim Si d.o.o.";"PRIFARSKI MUZIKANTI";"Sun, 08/25/2019 18:00";"1";"ET_SVN-veliki logo";"No"
"12";"FESTIVAL AVSENIK 2019 - 25.8.2019";"524";"PRIREDITVENI ŠOTOR/FESTZELT";"Begunje na Gorenjskem";"10179";"80:TRADICIJA AVSENIK d.o.o.";"80:Eventim Si d.o.o.";"FESTIVAL AVSENIK 2019";"Sun, 08/25/2019 17:00";"1";"ET_SVN-logo naslov2";"No"
"111";"PANÈ festival stand-up komedije - SOBOTNA VROÈICA";"144";"Ljubljanski grad";"Ljubljana";"11067";"80:CEH ZA SMEH d.o.o.";"80:Eventim Si d.o.o.";"PANÈ festival stand-up komedije";"Sat, 08/24/2019 21:00";"1";"ET_SVN-veliki logo";"No"
"12";"PIKNIK KINO: ANGRY BIRDS FILM 2";"1194";"BTC, VODNO MESTO ATLANTIS";"LJUBLJANA";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Sat, 08/24/2019 21:00";"1";"SVN - OK NOV";"No"
"25";"Projekt Lazarus";"174";"Grad Brežice";"Brežice";"10144";"80:Ars Ramovs";"80:Eventim Si d.o.o.";"Projekt Lazarus";"Sat, 08/24/2019 20:30";"1";"SVN - OK NOV";"No"
