"Event no.";"Title";"Venue codes";"Venue";"City";"Promoter no.";"Promoter";"Provider";"Tour title";"Event time";"FC";"Ticket layout";"Continuous event"
"8";"CASTLE - CAMP COMFORT - RAZPRODANO";"1023";"Fara";"Kostel";"11418";"80:INTRALITE d.o.o.";"80:Eventim Si d.o.o.";"CASTLE - CAMP COMFORT";"Wed, 07/31/2019 12:00";"5";"SVN - OK 2018";"Yes"
"9";"CASTLE - CAMP PREMIUM - RAZPRODANO";"1023";"Fara";"Kostel";"11418";"80:INTRALITE d.o.o.";"80:Eventim Si d.o.o.";"CASTLE - CAMP PREMIUM";"Wed, 07/31/2019 12:00";"5";"SVN - OK 2018";"Yes"
"10";"CASTLE - CAMP GLAMPING - RAZPRODANO!";"1023";"Fara";"Kostel";"11418";"80:INTRALITE d.o.o.";"80:Eventim Si d.o.o.";"CASTLE - CAMP GLAMPING";"Wed, 07/31/2019 12:00";"5";"SVN - OK 2018";"Yes"
"337";"Gruzijski komorni orkester Ingolstadt";"67";"Slovenska filharmonija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Gruzijski komorni orkester Ingolstadt";"Tue, 07/30/2019 20:00";"1";"Festival Ljubljana";"No"
"79";"Bronja Žakelj";"1189";"Lutkovno gledališèe Maribor";"Maribor";"11431";"80:ÈASNIK VEÈER d.o.o.";"80:Eventim Si d.o.o.";"Bronja Žakelj";"Tue, 07/30/2019 18:00";"1";"SVN - OK NOV";"No"
"32";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Tue, 07/30/2019 15:00";"1";"SVN - OK NOV";"No"
"345";"Komorni godalni ork. Slo. filharmonije, Avi Avital, mandolina";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Komorni godalni ork. Slo. filharmonije";"Mon, 07/29/2019 20:00";"1";"Festival Ljubljana";"No"
"358";"Koncerti študentov Mojstrskih teèajev - oboa";"39";"Konservatorij za glasbo in balet";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Koncert študentov Mojstrskih teèajev";"Sun, 07/28/2019 18:00";"1";"FL - prost vstop";"No"
"31";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Sun, 07/28/2019 15:00";"1";"SVN - OK NOV";"No"
"46";"TABU AKUSTIK - SLO";"195";"Minoritski samostan";"Ptuj";"10617";"80:Društvo za glasbeno umetnost Arsana";"80:Eventim Si d.o.o.";"TABU AKUSTIK (SLO)";"Sat, 07/27/2019 21:30";"1";"ET_SVN-veliki logo";"No"
"2";"SHOD NA BAÈU - SIDDHARTA, BIG FOOT MAMA";"1064";"BAÈ";"KNEŽAK";"11465";"80:DRUŠTVO BAÈKE MLADINE";"80:Eventim Si d.o.o.";"SHOD NA BAÈU - SIDDHARTA, BIG FOOT MAMA";"Sat, 07/27/2019 21:00";"1";"ET_SVN-logo naslov2";"No"
"3";"PIKNIK KINO: LEVJI KRALJ, podnapisi";"1193";"Veslaški center Mala Zaka";"Bled";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Sat, 07/27/2019 21:00";"1";"SVN - OK NOV";"No"
"84";"Boris Kobal";"449";"Peèine";"Slap ob Idrijci";"11059";"80:POUHNA LUNA, Mitja Kovaèiè s.p.";"80:Eventim Si d.o.o.";"Boris Kobal";"Sat, 07/27/2019 20:00";"1";"ET_SVN-veliki logo";"No"
"29";"PRLJAVO KAZALIŠTE";"420";"Kopališèe Ljutomer";"Ljutomer";"11220";"80:ŠIC d.o.o.";"80:Eventim Si d.o.o.";"PRLJAVO KAZALIŠTE";"Sat, 07/27/2019 20:00";"1";"SVN - OK NOV";"No"
"59";"SFERA EBBASTA in Concert";"1154";"BAR ÈOLNARNA SOLKAN";"SOLKAN";"11400";"80:MR-GO Gostinstvo d.o.o.";"80:Eventim Si d.o.o.";"SFERA EBBASTA in Concert";"Sat, 07/27/2019 18:00";"1";"ET_SVN-veliki logo";"No"
"357";"Koncerti študentov Mojstrskih teèajev - klavir";"39";"Konservatorij za glasbo in balet";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Koncerti študentov Mojstrskih teèajev";"Sat, 07/27/2019 18:00";"1";"FL - prost vstop";"No"
"30";"Konjeniški šov z Magnificent Maelle";"593";"KOBILARNA LIPICA";"Sežana";"11015";"80:Holding Kobilarna Lipica, d.o.o.";"80:Eventim Si d.o.o.";"Konjeniški šov z Magnificent Maelle";"Sat, 07/27/2019 15:00";"1";"SVN - OK NOV";"No"
"47";"QUEEN REAL TRIBUTE BAND";"195";"Minoritski samostan";"Ptuj";"10617";"80:Društvo za glasbeno umetnost Arsana";"80:Eventim Si d.o.o.";"QUEEN REAL TRIBUTE BAND";"Fri, 07/26/2019 21:30";"1";"ET_SVN-veliki logo";"No"
"4";"PIKNIK KINO: Bohemian Rhapsody";"1193";"Veslaški center Mala Zaka";"Bled";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Fri, 07/26/2019 21:00";"1";"SVN - OK NOV";"No"
"4";"17. FLOSFEST - Siddharta, Kingston, Parni Valjak, Pop Design";"514";"Prireditveni prostor Vrbje - Ljubno ob Savinji";"Ljubno ob savinji";"10578";"80:Klub Zgornjesavinjskih študentov";"80:Eventim Si d.o.o.";"17. FLOSFEST";"Fri, 07/26/2019 20:00";"1";"SVN - OK NOV";"Yes"
"356";"Koncerti študentov Mojstrskih teèajev - violina";"39";"Konservatorij za glasbo in balet";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Koncerti študentov Mojstrskih teèajev";"Fri, 07/26/2019 18:00";"1";"FL - prost vstop";"No"
"151";"METALDAYS FESTIVAL 2019 - 26.7.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Fri, 07/26/2019 12:00";"1";"Metaldays";"No"
"2";"PIKNIK KINO: Briljantina";"1193";"Veslaški center Mala Zaka";"Bled";"11623";"80:KULTURNO DRUŠTVO KGB";"80:Eventim Si d.o.o.";"PIKNIK KINO";"Thu, 07/25/2019 21:00";"1";"SVN - OK NOV";"No"
"45";"Boštjan Gombaè & All star orchestra";"195";"Minoritski samostan";"Ptuj";"10617";"80:Društvo za glasbeno umetnost Arsana";"80:Eventim Si d.o.o.";"Boštjan Gombaè & All star orchestra";"Thu, 07/25/2019 20:30";"1";"ET_SVN-veliki logo";"No"
"348";"Aleksandar Madžar";"941";"Narodna galerija";"Ljubljana";"10005";"80:Festival Ljubljana";"80:Eventim Si d.o.o.";"Aleksandar Madžar";"Thu, 07/25/2019 20:00";"1";"Festival Ljubljana";"No"
"150";"METALDAYS FESTIVAL 2019 - 25.7.2019";"114";"Sotoèje, Tolmin";"Tolmin";"11097";"80:ARTFEST d.o.o.";"80:Eventim Si d.o.o.";"METALDAYS FESTIVAL 2019";"Thu, 07/25/2019 12:00";"1";"Metaldays";"No"
"15";"ALBA & LEO";"1070";"Pokrajinski muzej Koper";"Koper";"10693";"80:Agencija Easy";"80:Eventim Si d.o.o.";"Poletje z biseri / Perle d'estate 2019";"Wed, 07/24/2019 21:00";"1";"SVN - OK NOV";"No"
